access_no_snow,agency_name,agency_parent,agency_url,alternate_names,altitude_meters,backcountry,capacity_hut_max,capacity_hut_min,capacity_max,country,date_updated,designations,discretion,fee_hut_max,fee_hut_min,fee_hut_occupancy_max,fee_person_max,fee_person_min,fee_person_occupancy_min,has_optional_services,has_services,hut_url,is_fee_hut,is_fee_hut_occupancy_max,is_fee_person,is_fee_person_occupancy_min,is_restricted,is_snow_min_km,latitude,location_accuracy,location_references,locked,longitude,name,no_snow_min_km,open_summer,open_winter,photo_credit_name,photo_credit_url,photo_url,private,published,region,reservations,restriction,services,show_satellite,snow_min_km,state,structures,systems,types
Trail,Haleakala National Park,NPS,http://www.nps.gov/hale/,,1944,2,12,12,12,United States,2012-07-10,Haleakala National Park,0,75,60,,,,,0,0,http://www.nps.gov/hale/planyourvisit/wilderness-cabins.htm,1,0,0,0,0,1,20.71810,3,http://www.nps.gov/hale/planyourvisit/upload/New-Hiking-Map.pdf,,-156.14112,Paliku Cabin,15.0,1,1,,,http://www.nps.gov/hale/planyourvisit/images/Paliku-exterior_1.jpg,0,1,Hawaiian Islands,1,0,0,,15.0,Hawaii,1,,Hut
Trail,Hawai'i Volcanoes National Park,NPS,http://www.nps.gov/havo/,,3058,2,8,8,8,United States,2012-07-10,Hawai'i Volcanoes National Park,0,,,,0,0,,0,0,http://www.nps.gov/havo/planyourvisit/upload/backcountry_planner_0410.pdf,0,0,1,0,0,1,19.53025,3,http://www.nps.gov/havo/planyourvisit/upload/backcountry_planner_0410.pdf,0,-155.46442,Pu'u 'Ula'ula (Red Hill) Cabin,12.1,1,1,,,,0,1,Hawaiian Islands,0,0,0,,12.1,Hawaii,1,,Hut
Trail,Hawai'i Volcanoes National Park,NPS,http://www.nps.gov/havo/,,512,2,3,3,3,United States,2012-07-10,Hawai'i Volcanoes National Park,0,,,,0,0,,0,0,http://www.nps.gov/havo/planyourvisit/upload/backcountry_planner_0410.pdf,0,0,1,0,0,1,19.26490,3,http://www.nps.gov/havo/planyourvisit/upload/backcountry_planner_0410.pdf,0,-155.35878,Pepeiao Cabin,7.7,1,1,,,,0,1,Hawaiian Islands,0,0,0,,7.7,Hawaii,1,,Hut
Trail,Hawai'i Volcanoes National Park,NPS,http://www.nps.gov/havo/,,4038,2,12,12,12,United States,2012-07-10,Hawai'i Volcanoes National Park,0,,,,0,0,,0,0,http://www.nps.gov/havo/planyourvisit/upload/backcountry_planner_0410.pdf,0,0,1,0,0,1,19.46645,3,http://www.nps.gov/havo/planyourvisit/upload/backcountry_planner_0410.pdf,0,-155.58161,Mauna Loa Cabin,30.8,1,1,,,,0,1,Hawaiian Islands,0,0,0,,30.8,Hawaii,1,,Hut
,Enchanted Forest Cross Country Ski Area,,http://www.enchantedforestxc.com/,,3005,2,6,4,6,United States,2012-10-25,Carson National Forest,0,125,65,,,,,0,0,http://www.enchantedforestxc.com/prices/yurts-and-lodging,1,0,0,0,0,1,36.69926,3,http://www.enchantedforestxc.com/images/10_11_map.pdf,,-105.36555,Linda's Leg Yurt,,0,1,,,http://www.enchantedforestxc.com//images/stories/yurtcamping_640_thumb.jpg,1,1,Sangre de Cristo Range,1,0,0,,1.6,New Mexico,1,,Yurt
,Southwest Nordic Center,,http://www.southwestnordiccenter.com/,,3291,2,10,10,10,United States,2012-10-25,Carson National Forest,0,145,100,,,,,1,0,http://www.southwestnordiccenter.com/taosyurtdescription.htm,1,0,0,0,0,1,36.61395,3,http://www.southwestnordiccenter.com/taosyurtdescription.htm,,-105.42903,Bull of the Woods Yurt,,0,1,,,,1,1,Sangre de Cristo Range,1,0,0,,3.2,New Mexico,1,,Yurt
2WD Road,Umatilla National Forest,USFS,www.fs.usda.gov/umatilla,,1426,1,6,6,6,United States,2012-12-17,Umatilla National Forest,0,50,50,,,,,0,0,http://www.fs.usda.gov/recarea/umatilla/recreation/camping-cabins/recarea/?recid=56425&actid=101,1,0,0,0,0,1,45.11899,3,,1,-119.34718,Ditch Creek Guard Station,0.0,1,1,USFS,,http://www.recreation.gov/webphotos/NRSO/pid74174/0/540x360.jpg,0,1,Blue Mountains,1,0,0,,8.8,Oregon,1,,Hut
Dirt Road,San Juan Hut Systems,,http://sanjuanhuts.com/,,2999,2,8,8,8,United States,2012-11-08,,0,,,,140,140,,0,1,http://sanjuanhuts.com/?page_id=35,0,0,1,0,1,,38.48365,3,http://www.trimbleoutdoors.com/ViewTrip/224724,1,-109.20800,Geyser Pass Hut,,1,,,,,1,1,La Sal Mountains,1,Package (6 nights),Stocked Food,,,Utah,1,Durango - Moab Huts,Hut
Dirt Road,San Juan Hut Systems,,http://sanjuanhuts.com/,,2462,2,8,8,8,United States,2012-11-08,Manti-La Sal National Forest,0,,,,140,140,,0,1,http://sanjuanhuts.com/?page_id=20,0,0,1,0,1,,38.61117,3,http://ridewithgps.com/routes/1201812,1,-109.19828,La Sal Hut,,1,,,,,1,1,La Sal Mountains,1,Package (6 nights),Stocked Food,,,Utah,1,Telluride - Moab Huts,Hut
,Cascade Powder Cats,,http://www.cascadepowdercats.com/,,1414,1,10,10,10,United States,2012-12-16,"Mount Baker-Snoqualmie National Forest, Mount Baker Wilderness",0,975,875,,198,198,,0,1,http://www.cascadepowdercats.com/index.php?option=com_content&view=article&id=103&Itemid=90,1,0,1,0,0,,47.74287,3,,,-121.16130,Windy Mountain Yurt,,0,1,,,http://www.cascadepowdercats.com/images/stories/800x600/yurt%20back%20of%20cat%20up%20at%20bowl.jpg,1,1,Cascade Range,1,0,"Transportation (Snowcat), Guide, Half Board",,,Washington,1,,Yurt
Gated Dirt Road,Mount Tahoma Trails Association,,http://www.skimtta.com/,,1280,1,14,14,14,United States,2012-12-16,,0,,,,15,15,,0,0,http://www.skimtta.com/huts.htm,0,0,1,0,0,1,46.77655,3,http://www.skimtta.com/map_north.htm,,-121.99671,Copper Creek Hut,,0,1,,,http://www.skimtta.com/media/images/h_cc_out_from_ridge-sml.jpg,0,1,Cascade Range,1,0,0,,5.2,Washington,1,,Hut
Gated Dirt Road,Mount Tahoma Trails Association,,http://www.skimtta.com/,,1249,2,6,6,6,United States,2012-12-16,,0,,,,15,15,,0,0,http://www.skimtta.com/huts.htm,0,0,1,0,0,1,46.66153,3,http://www.skimtta.com/map_south.htm,,-121.99477,The Yurt,,1,1,,,http://www.skimtta.com/media/images/h_ty_snow_n_griffin_mtn_eb-245.jpg,0,1,Cascade Range,1,0,0,,6.8,Washington,1,,Yurt
Gated Dirt Road,Mount Tahoma Trails Association,,http://www.skimtta.com/,,1450,2,8,8,8,United States,2012-12-16,,0,,,,15,15,,0,0,http://www.skimtta.com/huts.htm,0,0,1,0,0,1,46.69674,3,http://www.skimtta.com/map_south.htm,,-122.02540,High Hut,,1,1,,,http://www.skimtta.com/media/images/h_hh_r-sml.jpg,0,1,Cascade Range,1,0,0,,3.4,Washington,1,,Hut
,North Cascade Heli Ski,,http://www.heli-ski.com/,,1828,1,10,8,10,United States,2012-12-17,Okanogan National Forest,0,2600,1075,4,,,,0,1,http://www.heli-ski.com/trip.php?program=7,1,1,0,0,0,,48.76760,3,,,-120.71583,Barron Yurt,,0,1,,,http://heli-ski.com/gallery/terrain/fullsize/yurt/yurt_party.jpg,1,1,Cascade Range,1,0,"Transportation (Helicopter), Guide, Full Board",,,Washington,1,,Yurt
Paved Road,North Cascades Basecamp,,http://northcascadesbasecamp.com/,,664,0,18,6,24,United States,2012-12-17,Okanogan National Forest,0,,,,195,42.5,,0,1,http://northcascadesbasecamp.com/,0,0,1,0,0,1,48.60940,5,,,-120.44446,North Cascades Basecamp,0.0,1,1,,,http://northcascadesbasecamp.com/images/lodge_summer2.jpg,1,1,Cascade Range,1,0,Full Board,,0.0,Washington,2,,"Compound, Lodge"
Trail,Mount Rainier National Park,NPS,http://www.nps.gov/mora/,,3048,2,25,25,25,United States,2012-12-17,Mount Rainier National Park,0,,,,0,0,,0,0,http://www.nps.gov/mora/planyourvisit/climbing.htm,0,0,1,0,0,1,46.83555,3,,0,-121.73191,Camp Muir Shelter,8.0,1,1,Mitch Barrie,http://en.wikipedia.org/wiki/File:Camp_Muir_Mt_Rainier.jpg,http://upload.wikimedia.org/wikipedia/commons/7/71/Camp_Muir_Mt_Rainier.jpg,0,1,Cascade Range,0,0,0,,8.0,Washington,1,,Hut
2WD Road,Rendezvous Huts,,http://www.rendezvoushuts.com/,,1200,1,10,8,10,United States,2012-12-17,Okanogan National Forest,0,200,100,,,,,1,0,http://www.rendezvoushuts.com/thehuts.html,1,0,0,0,0,1,48.55698,3,http://www.mvsta.com//images/rendezvousTrail_Large.jpg,,-120.28184,Gardner Hut,0.0,1,1,,,http://www.rendezvoushuts.com/images/heiferhut.jpg,1,1,Cascade Range,1,0,0,,7.5,Washington,1,Methow Valley Sport Trails,Hut
Dirt Road,Rendezvous Huts,,http://www.rendezvoushuts.com/,,1074,1,10,8,10,United States,2012-12-17,Okanogan National Forest,0,200,100,,,,,1,0,http://www.rendezvoushuts.com/thehuts.html,1,0,0,0,0,1,48.54753,3,http://www.mvsta.com//images/rendezvousTrail_Large.jpg,,-120.29966,Grizzly Hut,,0,1,,,http://www.rendezvoushuts.com/images/Grizzlyhut.jpg,1,1,Cascade Range,1,0,0,,6.6,Washington,1,Methow Valley Sport Trails,Hut
Dirt Road,Rendezvous Huts,,http://www.rendezvoushuts.com/,,1196,1,10,8,10,United States,2012-12-17,Okanogan National Forest,0,200,100,,50,50,,1,0,http://www.rendezvoushuts.com/thehuts.html,1,0,1,0,0,1,48.60681,2,http://www.mvsta.com//images/rendezvousTrail_Large.jpg,,-120.28090,Helfer Hut,,0,1,,,http://www.rendezvoushuts.com/images/heifer.jpg,1,1,Cascade Range,1,0,0,,9.6,Washington,1,Methow Valley Sport Trails,Hut
2WD Road,Rendezvous Huts,,http://www.rendezvoushuts.com/,,1246,1,10,8,10,United States,2012-12-17,Okanogan National Forest,0,200,100,,,,,1,0,http://www.rendezvoushuts.com/thehuts.html,1,0,0,0,0,1,48.56556,2,http://www.mvsta.com//images/rendezvousTrail_Large.jpg,,-120.29390,Rendezvous Hut,0.0,1,1,,,http://www.rendezvoushuts.com/images/rendezvous.jpg,1,1,Cascade Range,1,0,0,,10.4,Washington,1,Methow Valley Sport Trails,Hut
Dirt Road,Rendezvous Huts,,http://www.rendezvoushuts.com/,,1171,1,10,8,10,United States,2012-12-17,Okanogan National Forest,0,200,100,,50,50,,1,0,http://www.rendezvoushuts.com/thehuts.html,1,0,1,0,0,1,48.57000,3,http://www.mvsta.com//images/rendezvousTrail_Large.jpg,,-120.31563,Cassal Hut,,0,1,,,http://www.rendezvoushuts.com/images/cassel.jpg,1,1,Cascade Range,1,0,0,,8.5,Washington,1,Methow Valley Sport Trails,Hut
Private Dirt Road,Scottish Lakes High Camp,,http://www.scottishlakes.com/,,1524,2,10,1,47,United States,2012-12-17,Wenatchee National Forest,0,,,,90,48,,1,0,http://www.scottishlakes.com/,0,0,1,0,0,1,47.72845,3,http://www.scottishlakes.com/trip-planner/map-directions/,,-120.84364,Scottish Lakes High Camp,13.6,1,1,,,http://www.scottishlakes.com/wp-content/themes/scottish/slide-images/slide3.jpg,1,1,Cascade Range,1,0,0,,13.6,Washington,9,,"Compound, Hut"
Paved Road,The Mountaineers,,http://www.mountaineers.org/,,1280,0,62,62,62,United States,2012-12-17,"Mount Baker-Snoqualmie National Forest, Mount Baker Wilderness",0,,,,35,27,,0,1,http://www.mountaineers.org/bakerlodge/,0,0,1,0,0,1,48.86530,4,http://www.mountaineers.org/bakerlodge/location.html,,-121.68033,Mount Baker Lodge,0.0,1,1,Ethan Welty,,,0,1,Cascade Range,1,0,Breakfast,,0.0,Washington,1,,Lodge
Paved Road,The Mountaineers,,http://www.mountaineers.org/,,1280,0,,,,United States,2012-12-17,"Mount Baker-Snoqualmie National Forest, Mount Baker Wilderness",0,,,,55,25,,0,1,http://www.mountaineers.org/StevensLodge/,0,0,1,0,0,1,47.74550,3,http://www.mountaineers.org/StevensLodge/aboutus.html,,-121.09851,Stevens Lodge,0.0,0,1,,,http://www.3cim.com/ps/3cim_Jo_Mc_597955/vtours/4943/ex/T_ex.jpg,0,1,Cascade Range,1,0,Breakfast,,0.0,Washington,1,,Lodge
Paved Road,The Mountaineers,,http://www.mountaineers.org/,,878,0,97,97,97,United States,2012-12-17,Wenatchee National Forest,0,,,,100,60,,0,1,http://www.meanylodge.org/,0,0,1,0,0,1,47.28032,3,http://www.meanylodge.org/misc/driving.html,,-121.32023,Meany Lodge,0.0,0,1,,,http://www.meanylodge.org/winter/images1/tri_fold/square_corners/lodge_snow.jpg,0,1,Cascade Range,1,0,"Ski Pass, Full Board",,0.0,Washington,1,,Lodge
Trail,Colville National Forest,USFS,http://www.fs.usda.gov/colville,,2067,2,,,,United States,2012-12-17,Colville National Forest,1,,,,0,0,,0,0,http://www.fs.usda.gov/recarea/colville/recarea/?recid=67854,0,0,1,0,0,,48.62065,3,http://www.geocaching.com/seek/cache_details.aspx?wp=gc2dcdb,0,-118.48240,Columbia Mountain Lookout Cabin,4.3,1,1,Kim Brown,http://www.wta.org/go-hiking/trip-reports/trip_report.2012-07-05.2187838260,http://www.wta.org/go-hiking/trip-reports/trip_report.2012-07-05.2187838260/photo3_large,0,1,Monashee Mountains,0,0,0,,,Washington,1,,"Hut, Emergency Shelter"
Trail,Colville National Forest,USFS,http://www.fs.usda.gov/colville,,1894,2,6,6,6,United States,2012-12-17,Colville National Forest,0,30,30,,,,,0,0,http://www.fs.usda.gov/recarea/colville/recarea/?recid=67896,1,0,0,0,0,1,48.57358,3,,,-118.48911,Snow Peak Cabin,5.1,1,1,USFS,,http://www.recreation.gov/webphotos/NRSO/pid94669/3/540x360.jpg,0,1,Monashee Mountains,1,0,0,,8.0,Washington,1,,Hut
2WD Road,Gifford Pinchot National Forest,USFS,http://www.fs.usda.gov/main/giffordpinchot/home,,372,1,9,9,9,United States,2012-12-17,"Gifford Pinchot National Forest, Trapper Creek Wilderness",0,65,65,,,,,0,0,http://www.fs.usda.gov/recarea/giffordpinchot/recreation/camping-cabins/recarea/?recid=31774&actid=101,1,0,0,0,0,1,45.88094,3,,1,-121.99403,Government Mineral Springs Guard Station,0.0,1,1,USFS,,http://www.recreation.gov/webphotos/NRSO/pid74103/1/540x360.jpg,0,1,Cascade Range,1,0,0,,0.8,Washington,1,,Hut
Trail,Mount Baker-Snoqualmie National Forest,USFS,http://www.fs.usda.gov/main/mbs/home,,1702,2,4,4,4,United States,2012-11-18,"Mount Baker-Snoqualmie National Forest, Wild Sky Wilderness",0,40,40,,,,,0,0,http://www.fs.usda.gov/recarea/mbs/recreation/recarea/?recid=18042,1,0,0,0,0,,47.83645,3,,,-121.26397,Evergreen Lookout,2.4,1,0,,,http://www.fs.usda.gov/Internet/FSE_MEDIA/stelprdb5152024.jpg,0,1,Cascade Range,1,0,0,,,Washington,1,,Fire Lookout
Scramble,Mount Baker-Snoqualmie National Forest,USFS,http://www.fs.usda.gov/main/mbs/home,,2087,2,4,2,4,United States,2012-11-18,"Mount Baker-Snoqualmie National Forest, Boulder River Wilderness",0,,,,0,0,,0,0,http://www.fs.usda.gov/recarea/mbs/recreation/recarea/?recid=17850,0,0,1,0,0,,48.16987,3,,0,-121.68788,Three Fingers Lookout,10.8,1,1,,,http://www.fs.usda.gov/Internet/FSE_MEDIA/stelprdb5152020.jpg,0,1,Cascade Range,0,0,0,,,Washington,1,,Fire Lookout
Trail,Mount Baker-Snoqualmie National Forest,USFS,http://www.fs.usda.gov/main/mbs/home,,2087,2,4,2,4,United States,2012-11-18,"Mount Baker-Snoqualmie National Forest, North Cascades National Park, Stephen Mather Wilderness",0,,,,0,0,,0,0,http://www.fs.usda.gov/recarea/mbs/recreation/recarea/?recid=17672,0,0,1,0,0,,48.49552,4,,0,-121.20513,Hidden Lake Lookout,5.6,1,1,Ethan Welty,,,0,1,Cascade Range,0,0,0,,,Washington,1,,Fire Lookout
Trail,Mount Baker-Snoqualmie National Forest,USFS,http://www.fs.usda.gov/main/mbs/home,,1628,2,4,2,4,United States,2012-11-18,"Mount Pilchuck State Park, Mount Baker-Snoqualmie National Forest",0,,,,0,0,,0,0,http://www.fs.usda.gov/recarea/mbs/recreation/recarea/?recid=17852,0,0,1,0,0,,48.05797,3,,0,-121.79779,Mount Pilchuck Lookout,4.8,1,1,,,http://www.fs.usda.gov/Internet/FSE_MEDIA/stelprdb5152021.jpg,0,1,Cascade Range,0,0,0,,,Washington,1,,Fire Lookout
Trail,Mount Baker-Snoqualmie National Forest,USFS,http://www.fs.usda.gov/main/mbs/home,,1737,2,4,2,4,United States,2012-11-18,Mount Baker-Snoqualmie National Forest,0,,,,0,0,,0,0,http://www.fs.usda.gov/recarea/mbs/recreation/recarea/?recid=17674,0,0,1,0,0,,48.55221,3,,0,-121.32937,Lookout Mountain Lookout,7.6,1,1,,,http://www.fs.usda.gov/Internet/FSE_MEDIA/stelprdb5136896.jpg,0,1,Cascade Range,0,0,0,,,Washington,1,,Fire Lookout
Trail,Mount Baker-Snoqualmie National Forest,USFS,http://www.fs.usda.gov/main/mbs/home,,1987,2,4,2,4,United States,2012-11-18,"Mount Baker-Snoqualmie National Forest, Mount Baker Wilderness",0,,,,0,0,,0,0,http://www.fs.usda.gov/recarea/mbs/recreation/recarea/?recid=17586,0,0,1,0,0,1,48.95656,3,,0,-121.64298,Winchester Mountain Lookout,3.2,1,1,,,http://www.fs.usda.gov/Internet/FSE_MEDIA/stelprdb5137416.jpg,0,1,Cascade Range,0,0,0,,6.4,Washington,1,,Fire Lookout
Trail,Mount Baker-Snoqualmie National Forest,USFS,http://www.fs.usda.gov/main/mbs/home,,1645,2,4,2,4,United States,2012-11-18,"Mount Baker-Snoqualmie National Forest, Mount Baker Wilderness",0,,,,0,0,,0,0,http://www.fs.usda.gov/recarea/mbs/recreation/recarea/?recid=17644,0,0,1,0,0,,48.71652,3,,0,-121.85638,Park Butte Loookout,5.6,1,1,,,http://www.fs.usda.gov/Internet/FSE_MEDIA/stelprdb5136899.jpg,0,1,Cascade Range,0,0,0,,,Washington,1,,Fire Lookout
2WD Road,Okanogan National Forest,USFS,http://www.fs.usda.gov/okawen,,927,1,60,60,60,United States,2012-12-17,Okanogan National Forest,0,100,100,,,,,0,0,http://www.fs.usda.gov/recarea/okawen/recreation/camping-cabins/recarea/?recid=58099,1,0,0,0,0,1,46.97305,3,,1,-121.17274,American Ridge Lodge,0.0,1,1,USFS,,http://www.recreation.gov/webphotos/NRSO/pid73941/0/540x360.jpg,0,1,Cascade Range,1,0,0,,1.6,Washington,1,,Lodge
2WD Road,Okanogan National Forest,USFS,http://www.fs.usda.gov/okawen,,866,1,2,2,2,United States,2012-12-17,Okanogan National Forest,0,40,40,,,,,0,0,http://www.fs.usda.gov/recarea/okawen/recreation/camping-cabins/recarea/?recid=57873&actid=101,1,0,0,0,0,1,47.35968,3,,1,-120.85513,Teanaway Guard Station,0.0,1,1,USFS,,http://www.recreation.gov/webphotos/NRSO/pid74147/0/540x360.jpg,0,1,Cascade Range,1,0,0,,3.5,Washington,1,,Hut
2WD Road,Olympic National Forest,USFS,www.fs.usda.gov/olympic/,,171,1,6,6,6,United States,2012-12-17,Olympic National Forest,0,60,40,,,,,0,0,http://www.fs.usda.gov/recarea/olympic/recreation/outdoorlearning/recarea/?recid=47839&actid=119,1,0,0,0,0,1,47.59247,3,,1,-123.11499,Hamma Hamma Cabin,0.0,1,1,USFS,,http://www.recreation.gov/webphotos/NRSO/pid73591/3/540x360.jpg,0,1,Olympic Mountains,1,0,0,,9.6,Washington,1,,Hut
2WD Road,Umatilla National Forest,USFS,www.fs.usda.gov/umatilla,,1707,1,4,4,4,United States,2012-12-17,Umatilla National Forest,0,50,50,,,,,0,0,http://www.fs.usda.gov/recarea/umatilla/recarea/?recid=56701,1,0,0,0,0,1,46.20310,3,,1,-117.57507,Clearwater Lookout Cabin,0.0,1,1,USFS,,http://www.recreation.gov/webphotos/NRSO/pid75125/1/540x360.jpg,0,1,Blue Mountains,1,0,0,,8.8,Washington,1,,Hut
2WD Road,Umatilla National Forest,USFS,www.fs.usda.gov/umatilla,,1676,1,10,10,10,United States,2012-12-17,Umatilla National Forest,0,75,60,,,,,0,0,http://www.fs.usda.gov/recarea/umatilla/recreation/recarea/?recid=56697,1,0,0,0,0,1,46.20053,3,,1,-117.56789,Clearwater Big House,0.0,1,1,USFS,,http://www.recreation.gov/webphotos/NRSO/pid75126/0/540x360.jpg,0,1,Blue Mountains,1,0,0,,8.8,Washington,1,,Hut
2WD Road,Umatilla National Forest,USFS,www.fs.usda.gov/umatilla,,1670,1,4,4,4,United States,2012-12-17,Umatilla National Forest,0,50,50,,,,,0,0,http://www.fs.usda.gov/recarea/umatilla/recreation/camping-cabins/recarea/?recid=56895&actid=101,1,0,0,0,0,1,46.12177,3,,1,-117.37953,Wenatchee Guard Station,0.0,1,1,USFS,,http://www.recreation.gov/webphotos/NRSO/pid75123/2/540x360.jpg,0,1,Blue Mountains,1,0,0,,5.2,Washington,1,,Hut
2WD Road,Umatilla National Forest,USFS,www.fs.usda.gov/umatilla,,1731,1,10,10,10,United States,2012-12-17,Umatilla National Forest,0,75,75,,,,,0,0,http://www.fs.usda.gov/recarea/umatilla/recreation/camping-cabins/recarea/?recid=56743&actid=101,1,0,0,0,0,1,46.10044,3,,1,-117.78512,Godman Guard Station,0.0,1,1,USFS,,http://www.recreation.gov/webphotos/NRSO/pid75124/1/540x360.jpg,0,1,Blue Mountains,1,0,0,,20.8,Washington,1,,Hut
Boat,Deception Pass State Park,WA State Parks,http://www.parks.wa.gov/parks/?selectedpark=Deception%20Pass,,0,2,2,2,2,United States,2012-12-17,Deception Pass State Park,0,88,88,,,,,0,0,http://www.parks.wa.gov/yurtsandcabins/deceptionpass/,1,0,0,0,0,,48.40286,3,,,-122.63113,Ben Ure Cabin,,1,1,,,http://www.parks.wa.gov/yurtsandcabins/deceptionpass/yurtcabin_DECE2.jpg,0,1,Northwest Coast Islands,1,0,0,,,Washington,1,,Hut
Gated Dirt Road,Mount Spokane State Park,WA State Parks,http://www.parks.wa.gov/parks/?selectedpark=Mount%20Spokane,,1563,2,4,4,4,United States,2012-12-16,Mount Spokane State Park,0,88,77,,,,,0,0,http://www.parks.wa.gov/yurtsandcabins/quartzmountain/,1,0,0,0,0,,47.88519,3,,,-117.08226,Quartz Mountain Lookout,3.5,1,0,,,http://www.parks.wa.gov/yurtsandcabins/quartzmountain/yurtcabin_QUAR1.jpg,0,1,Selkirk Mountains,1,0,0,,,Washington,1,,Fire Lookout
2WD Road,American Alpine Club,,http://www.americanalpineclub.org,,2030,0,8,4,,United States,2012-11-18,Grand Teton National Park,0,,,,22,14,,0,0,http://americanalpineclub.org/p/grand_teton_climbers_ranch,0,0,1,0,0,,43.70469,3,,,-110.73535,Grand Teton Climbers' Ranch,0.0,1,0,,,http://americanalpineclub.org/uploads/mce_uploads/GTCR-AAC%20sign.jpg,0,1,Teton Range,0,0,0,,,Wyoming,,,"Compound, Hut"
,Teton Backcountry Guides,,http://www.skithetetons.com/,,2438,2,8,6,8,United States,2012-11-18,"Targhee National Forest, Jedediah Smith Wilderness",0,395,275,,,,,1,0,http://www.skithetetons.com/Hut-CR.html,1,0,0,0,1,1,43.83806,2,http://www.skithetetons.com/Hut-CR.html,,-110.96934,Commissary Ridge Mountain Hut,,0,1,,,http://www.skithetetons.com/data/images/cr2.jpg,1,1,Teton Range,1,Qualified User,0,,6.4,Wyoming,1,,Yurt
,Teton Backcountry Guides,,http://www.skithetetons.com/,,2560,2,8,6,8,United States,2012-11-18,"Targhee National Forest, Jedediah Smith Wilderness",0,395,275,,,,,1,0,http://www.skithetetons.com/Hut-PC.html,1,0,0,0,1,1,43.59062,2,http://www.skithetetons.com/Hut-PC.html,,-111.01088,Plummer Canyon Mountain Hut,,0,1,,,,1,1,Teton Range,1,Qualified User,0,,5.6,Wyoming,1,,Yurt
,Teton Backcountry Guides,,http://www.skithetetons.com/,,2682,2,8,6,8,United States,2012-11-18,Targhee National Forest,0,395,275,,,,,1,0,http://www.skithetetons.com/Hut-BK.html,1,0,0,0,1,1,43.62222,2,http://www.skithetetons.com/Hut-BK.html,,-111.01410,Baldy Knoll Mountain Hut,,0,1,,,,1,1,Teton Range,1,Qualified User,0,,8.8,Wyoming,1,,Yurt
,Yellowstone Expeditions,,http://www.yellowstoneexpeditions.com/,,2438,1,2,2,,United States,2012-11-18,Yellowstone National Park,0,720,240,1,,,,0,1,http://www.yellowstoneexpeditions.com/html/camp/yurt_camp.html,1,1,0,0,0,1,44.71661,1,http://www.yellowstoneexpeditions.com/index.html,,-110.50098,Yellowstone Skier's Yurt Camp,,0,1,,,,1,1,Yellowstone,1,0,"Full Board, Shuttle",,64,Wyoming,,,"Compound, Yurt"
4WD Road,Bonnie Bell Cabin,,http://bonniebellecabin.com/,,3657,1,16,16,16,United States,2013-01-21,,0,900,500,8,,,,1,0,http://bonniebellecabin.com/,1,1,0,0,0,1,37.91709,3,,,-107.56740,Bonnie Belle Cabin,0.0,1,1,,,http://bonniebellecabin.com/uploads/2/7/5/9/2759035/9400403_orig.png,1,1,San Juan Mountains,1,0,0,,8.3,Colorado,1,,Hut
4WD Road,Treasure Mountain Hut,,http://www.treasuremountainhut.com/about_the_hut.htm,,,1,12,12,12,United States,2013-01-21,,0,,,,,,,,,http://www.treasuremountainhut.com/about_the_hut.htm,,0,,0,,1,37.91983,3,http://www.treasuremountainhut.com/map_and_directions.htm,,-107.56954,Treasure Mountain Hut,0.0,,,Jason Ebelheiser,,http://www.treasuremountainhut.com/Ebel6.jpg,1,1,San Juan Mountains,,,,,8.8,Colorado,1,,Hut
Paved Road,,Alpine Club of Canada,http://www.alpineclubofcanada.ca/,Toronto Section Cabin,,0,16,16,16,Canada,2013-01-24,,0,86,75,4,,,,0,1,http://www.alpineclubofcanada.ca/facility/boswell.html,1,1,0,0,0,1,51.07898,3,,,-115.31076,Canmore Clubhouse - Pat Boswell Cabin,0.0,1,1,,,http://www.alpineclubofcanada.ca/images/facility/boswell_2_open.jpg,0,1,,1,0,Grid,,0.0,Alberta,1,,Hut
Paved Road,,Alpine Club of Canada,http://www.alpineclubofcanada.ca/,,,0,15,15,15,Canada,2013-01-24,,0,,,,36,25,,0,1,http://www.alpineclubofcanada.ca/facility/bell.html,0,0,1,0,0,1,51.07848,3,,,-115.30952,Canmore Clubhouse - Bell Cabin,0.0,1,1,,,http://www.alpineclubofcanada.ca/images/facility/LargeBellCropped.gif,0,1,,1,0,Grid,,0.0,Alberta,1,,Hut
Paved Road,,Alpine Club of Canada,http://www.alpineclubofcanada.ca/,,,0,31,31,31,Canada,2013-01-24,,0,,,,36,25,,0,1,http://www.alpineclubofcanada.ca/facility/clubhouse.html,0,0,1,0,0,1,51.07813,3,,,-115.31029,Canmore Clubhouse - Main Building,0.0,1,1,,,http://www.alpineclubofcanada.ca/images/facility/MediumClubhouse2.gif,0,1,,1,0,Grid,,0.0,Alberta,1,,Lodge
Paved Road,Hostelling International,,http://www.hihostels.ca/,Lake Louise Alpine Center,,0,151,151,151,Canada,2013-01-24,,0,,,,70,28,,0,1,http://www.hihostels.ca/westerncanada/359/HI-Lake_Louise_Alpine_Centre.hostel,0,0,1,0,0,1,51.42775,3,,,-116.18275,Canadian Alpine Center,0.0,1,1,,,http://www.hihostels.ca/hostelsdb/gallery/19/1357_3.jpg,0,1,,1,0,Grid,,0.0,Alberta,1,,Lodge
